Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Magnetic Building Blocks Mine World Cube Magnet World Set for Kid Age 3+ DIY Model Children Stem Bes,magnetic-building-blocks-mine-world-cube-magnet-world-set-for-kid-age-3--diy-model-children-stem-bes,Magnetic Building Blocks Mine World Cube Magnet World Set for Kid Age 3+ DIY Model Children Stem Bes,Green City Toy Store,,,,TRUE,active,12000041144475526,,Color,Ukryty Ruiny 128PCS,,,,,101.19,101.19,,TRUE,,,,,,shopify,1953,deny,,g,TRUE,manual,https://ae01.alicdn.com/kf/S0db4bf5ab1f64f8693cc5f3cfd322c19B.jpg,1,,https://ae01.alicdn.com/kf/S86b0beec28f44ad39b038c96fc9b0d463.jpg,FALSE,Magnetic Building Blocks Mine World Cube Magnet World Set for Kid Age ,Magnetic Building Blocks Mine World Cube Magnet World Set for Kid Age 3+ DIY Model Children Stem Bes,,,,1005007525021418,,,new,FALSE,,,,,
,magnetic-building-blocks-mine-world-cube-magnet-world-set-for-kid-age-3--diy-model-children-stem-bes,,,,,,,,12000041144475525,,,Ukryty Wieża 200PCS,,,,,144.19,144.19,,,,,,,,,1927,deny,,g,TRUE,manual,,,,https://ae01.alicdn.com/kf/S8218cf29753544358d1f5babf163accbl.jpg,,,,,,,,,,,,,,,,
,magnetic-building-blocks-mine-world-cube-magnet-world-set-for-kid-age-3--diy-model-children-stem-bes,,,,,,,,12000041144475524,,,Magiczny Las 300PCS,,,,,200.79,200.79,,,,,,,,,977,deny,,g,TRUE,manual,,,,https://ae01.alicdn.com/kf/Sf35f76614ff4493bb372a4a709ec377fY.jpg,,,,,,,,,,,,,,,,
,magnetic-building-blocks-mine-world-cube-magnet-world-set-for-kid-age-3--diy-model-children-stem-bes,,,,,,,,12000041144475523,,,Zaczarowany Zamek 132PCS,,,,,100.39,100.39,,,,,,,,,981,deny,,g,TRUE,manual,,,,https://ae01.alicdn.com/kf/Sa82e5c2afcb84626baa6d28f4e93a8a8K.jpg,,,,,,,,,,,,,,,,
,magnetic-building-blocks-mine-world-cube-magnet-world-set-for-kid-age-3--diy-model-children-stem-bes,,,,,,,,12000041144475522,,,Spokojny Forteca 177PCS,,,,,129.59,129.59,,,,,,,,,1985,deny,,g,TRUE,manual,,,,https://ae01.alicdn.com/kf/Sb0e60e3bd6b84b6f9aefb3a0b371ada22.jpg,,,,,,,,,,,,,,,,
,magnetic-building-blocks-mine-world-cube-magnet-world-set-for-kid-age-3--diy-model-children-stem-bes,,,,,,,,12000041144475521,,,Dziki Forteca 128PCS,,,,,100.99,100.99,,,,,,,,,1982,deny,,g,TRUE,manual,,,,https://ae01.alicdn.com/kf/S047c406ff9e046e29263527a09b2401dg.jpg,,,,,,,,,,,,,,,,
,magnetic-building-blocks-mine-world-cube-magnet-world-set-for-kid-age-3--diy-model-children-stem-bes,,,,,,,,12000041144475520,,,Tajemniczy Cytadela 100PCS,,,,,78.59,78.59,,,,,,,,,1930,deny,,g,TRUE,manual,,,,https://ae01.alicdn.com/kf/S521f56c67d724bfe9846f4aab859a3fdv.jpg,,,,,,,,,,,,,,,,
,magnetic-building-blocks-mine-world-cube-magnet-world-set-for-kid-age-3--diy-model-children-stem-bes,,,,,,,,12000041144475511,,,Magiczny Ruiny 32PCS,,,,,28.69,28.69,,,,,,,,,0,deny,,g,TRUE,manual,,,,https://ae01.alicdn.com/kf/S5a581ea025d34b7b909612d0565a9413F.jpg,,,,,,,,,,,,,,,,
,magnetic-building-blocks-mine-world-cube-magnet-world-set-for-kid-age-3--diy-model-children-stem-bes,,,,,,,,12000041144475510,,,Dziki Ruiny 100PCS,,,,,70.39,70.39,,,,,,,,,2,deny,,g,TRUE,manual,,,,https://ae01.alicdn.com/kf/Sc86655fa60d5490eb31a04bd0e362408r.jpg,,,,,,,,,,,,,,,,
,magnetic-building-blocks-mine-world-cube-magnet-world-set-for-kid-age-3--diy-model-children-stem-bes,,,,,,,,12000041144475509,,,Spokojny Ruiny 50PCS,,,,,35.79,35.79,,,,,,,,,0,deny,,g,TRUE,manual,,,,https://ae01.alicdn.com/kf/S2692542e677648e8a13f8eb3bd769da2e.jpg,,,,,,,,,,,,,,,,
